,State FIPS,County FIPS,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Level,State Postal Code,County Name,Ac_Land,Ac_Unpr,TotPop,AutoOwn0,AutoOwn1,AutoOwn2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,totWalkInd,weightedIndex,percent_Population Staying at Home,percent_Population Not Staying at Home,Number of Trips_perPerson,Number of Trips <1_perPerson,Number of Trips 1-3_perPerson,Number of Trips 3-5_perPerson,Number of Trips 5-10_perPerson,Number of Trips 10-25_perPerson,Number of Trips 25-50_perPerson,Number of Trips 50-100_perPerson,Number of Trips 100-250_perPerson,Number of Trips 250-500_perPerson,Number of Trips >=500_perPerson,Ac_Land_perPerson,Ac_Unpr_perPerson,percent_AutoOwn0,percent_AutoOwn1,percent_AutoOwn2p,percent_R_LowWageWk,percent_R_MedWageWk,percent_R_HiWageWk
1828,36.0,36001.0,62054.75177304965,243451.24822695035,1622054.8439716313,519642.3333333333,399318.3333333333,195055.04255319148,271645.21276595746,180489.82978723405,33443.0,11795.432624113475,8939.645390070922,761.2907801418439,964.7234042553191,County,NY,Albany County,334603.2467256,316731.11424272,307426,17228,47143,61637,146075,32457,40927,72691,3369295.500039122,10.95969599200823,0.20185264672815456,0.7919019478734731,5.276244832810599,1.6903005384493612,1.2989087888901176,0.6344780290319995,0.8836117074221356,0.5871000819294205,0.1087839024675857,0.03836836384727861,0.029079015405564013,0.002476338306265065,0.003138067060870971,1.088402564277582,1.030267818085393,0.056039502189144705,0.1533474722372213,0.20049377736430882,0.2221940783843916,0.2801779907581722,0.49762793085743623
1829,36.0,36003.0,6492.2836879432625,39598.716312056735,292331.6382978723,50651.0,63272.02127659575,54734.624113475176,48800.255319148935,53734.22695035461,12668.439716312057,6335.631205673759,1969.0921985815603,126.29078014184397,40.05673758865248,County,NY,Allegany County,658775.9322068,630225.347825563,47025,1644,6324,10041,17469,4789,6206,6474,261744.000000984,5.566060606081531,0.13806025918008002,0.8420779651686706,6.216515434298189,1.0771079213184476,1.345497528476252,1.1639473495688502,1.0377513092854638,1.1426736193589497,0.269397973765275,0.13472899958902199,0.04187330565830006,0.0026856093597414986,0.0008518179178873468,14.009057569522593,13.401921272207614,0.03496012759170654,0.134481658692185,0.21352472089314195,0.27414276718758945,0.35525788539698894,0.3705993474154216
1830,36.0,36005.0,438314.3829787234,979892.6170212766,5026659.730496454,1477709.8439716313,1169505.070921986,659419.5886524823,798487.0212765958,790718.1205673759,76185.06382978724,29323.90070921986,19989.475177304965,1840.9290780141844,3480.7163120567375,County,NY,Bronx County,26911.5549944,21451.3432694,1437872,292462,148883,58383,563092,129300,220533,213259,18856946.166596618,13.114481794343737,0.30483546725906296,0.6814880719711328,3.4959020903783187,1.0277061129027,0.8133582620163589,0.45860799059476937,0.5553255236047407,0.549922469153983,0.05298459378149601,0.02039395767441042,0.013902124234497205,0.0012803149918867497,0.002420741423476316,0.01871623829826299,0.014918812849405232,0.203399189913984,0.10354398722556667,0.0406037533243571,0.22962499911204565,0.3916464805040739,0.37872852038388044
1831,36.0,36007.0,37753.75886524823,152734.24113475176,1025434.4255319149,303503.9929078014,253423.82269503546,129980.24822695035,169575.35460992908,125569.74468085106,24152.609929078015,12670.687943262412,5397.730496453901,791.4255319148937,368.8085106382979,County,NY,Broome County,451714.00949160004,444383.6866127,194402,9503,29212,39879,81399,20179,28583,32637,1310400.666674688,6.740674821630889,0.19420458053542777,0.7856618817437668,5.274814176458652,1.561218469500321,1.3036070755189528,0.6686157973012127,0.8722922326412746,0.6459282552692414,0.12424054242794835,0.06517776536899009,0.02776581772025957,0.004071077107822418,0.0018971436026290773,2.323607830637545,2.2859007963534324,0.04888324194195533,0.15026594376601063,0.20513677842820546,0.24790230838216687,0.3511468199855035,0.4009508716323296
1832,36.0,36009.0,13333.72340425532,62783.27659574468,426485.390070922,114037.95035460993,99244.09219858157,47366.70212765958,68868.69503546099,65194.86524822695,22804.163120567377,6593.397163120568,1966.3687943262412,264.92198581560285,144.2340425531915,County,NY,Cattaraugus County,837279.6722247,739134.8814505,77686,3544,11110,16779,30912,8212,11490,11210,473255.499996555,6.091902015762878,0.17163611724448832,0.808167193519356,5.489861623341683,1.4679343814150545,1.2775029245756193,0.6097199254390698,0.8865007213070694,0.8392099638059233,0.29354276343958213,0.08487239867055284,0.025311752366272446,0.0034101638109260723,0.0018566285116133087,10.77774209284427,9.514389741401281,0.045619545349226374,0.14301161084365266,0.21598486213732204,0.2656573498964803,0.3717003105590062,0.36264233954451347
1833,36.0,36011.0,13171.63829787234,63404.36170212766,445289.9574468085,112436.51063829787,116282.0780141844,57893.765957446805,69620.63829787234,61527.765957446805,20238.96453900709,4781.985815602837,2114.5602836879434,255.59574468085106,138.0921985815603,County,NY,Cayuga County,442603.1750198,423819.55664088,77868,3304,10752,17195,34908,8500,11576,14832,603126.333322745,7.745496652318604,0.16915341729429725,0.8142544010649774,5.718523108938313,1.4439373123529289,1.4933230340343195,0.7434859757210511,0.8940853533912819,0.7901546971470541,0.25991375839891984,0.061411437504531215,0.027155703031899413,0.003282423391904904,0.0017734139644213322,5.684018788459958,5.4427949432485745,0.042430780294857966,0.13807982740021574,0.22082241742435918,0.24349719262060274,0.3316145296207173,0.42488827775867993
1834,36.0,36013.0,24039.212765957447,102863.78723404255,707772.4113475177,201249.59574468085,184529.97163120567,80304.9219858156,94762.2695035461,98468.78723404255,34503.97163120568,10564.7304964539,2601.496453900709,567.8297872340426,218.8368794326241,County,NY,Chautauqua County,678548.3313276999,653924.5189848,129656,5919,20161,26492,50719,13603,18805,18311,890121.000000003,6.865251126056665,0.18540763841208618,0.7933592524375467,5.458848116149794,1.5521811234704206,1.4232273988955826,0.6193691150877367,0.7308745411207047,0.7594618624208872,0.26611935915966617,0.08148277361983942,0.02006460521611579,0.004379510298281935,0.001687826860558895,5.233451065339822,5.043534575991855,0.045651570309125686,0.15549608193990253,0.2043252915406923,0.2682032374455332,0.37076835111102346,0.3610284114434433
1835,36.0,36015.0,17350.801418439718,66105.19858156028,416323.9858156028,111708.12765957447,110997.75886524822,47295.51773049645,76158.76595744681,51012.68794326241,12253.482269503545,4229.120567375887,2414.7163120567375,102.95035460992908,150.8581560283688,County,NY,Chemung County,260699.94588780002,256424.25447245,85740,3846,11926,18601,34493,8426,11746,14321,593076.666643034,6.91715263171255,0.20236530695637647,0.7709960179794761,4.8556564709074275,1.3028706281732503,1.2945854777845605,0.5516155555224685,0.8882524604320832,0.5949695351441849,0.14291441881856246,0.049324942469977685,0.028163241334928125,0.0012007272522734905,0.0017594839751384277,3.0405871925332404,2.9907190864526476,0.04485654303708887,0.1390949381852111,0.2169465826918591,0.24428144840982227,0.3405328617400632,0.4151856898501145
1836,36.0,36017.0,8476.36170212766,38730.63829787234,244946.82269503546,44795.645390070924,54736.85106382979,32344.55319148936,38370.985815602835,47616.44680851064,19835.31914893617,5816.0,1292.7446808510638,82.23404255319149,56.04255319148936,County,NY,Chenango County,571886.7326824,541216.16426649,48348,1650,7183,11783,20597,4667,7549,8381,246402.000000739,5.0964259121522915,0.17531980024256763,0.8010804645046815,5.0663279286637595,0.9265253038403021,1.132143026884872,0.6689946469655282,0.7936416359643178,0.9848690082011798,0.4102614203056211,0.12029453131463556,0.02673832797325771,0.0017008778554064592,0.0011591493586392272,11.82854994379085,11.19417895810561,0.034127575080665176,0.14856871018449574,0.2437122528336229,0.2265863960770986,0.36650968587658395,0.4069039180463174
1837,36.0,36019.0,14558.18439716312,65926.81560283688,424178.7943262411,88734.8439716312,126014.36879432623,42496.29787234042,75178.62411347518,67748.92907801419,18230.652482269503,3662.0141843971633,1768.354609929078,250.82978723404256,93.87943262411348,County,NY,Clinton County,664150.2324124,591038.15679175,80794,2916,10535,17944,34095,7910,11992,14193,447062.000007379,5.533356437450541,0.18018892983591753,0.815986528737739,5.250127414489208,1.0982850703224398,1.5596995914836032,0.5259833387669929,0.9304976126132531,0.8385391127808276,0.22564364287285568,0.04532532346952946,0.02188720214284573,0.0031045595865292295,0.0011619604503318745,8.220291511899397,7.3153718938504095,0.036091788994232245,0.13039334604054756,0.22209570017575564,0.23199882680744977,0.35172312655814636,0.4162780466344039
